季度,房價(元/坪),租金(元/坪),物價指數,臺北市_房價,臺中市_房價,基隆市_房價,臺南市_房價,高雄市_房價,新北市_房價,宜蘭縣_房價,桃園市_房價,嘉義市_房價,新竹縣_房價,苗栗縣_房價,南投縣_房價,彰化縣_房價,新竹市_房價,雲林縣_房價,嘉義縣_房價,屏東縣_房價,花蓮縣_房價,臺東縣_房價,金門_房價,澎湖縣_房價,臺北市_租金,臺中市_租金,基隆市_租金,臺南市_租金,高雄市_租金,新北市_租金,宜蘭縣_租金,桃園市_租金,嘉義市_租金,新竹縣_租金,苗栗縣_租金,南投縣_租金,彰化縣_租金,新竹市_租金,雲林縣_租金,嘉義縣_租金,屏東縣_租金,花蓮縣_租金,臺東縣_租金,金門_租金,澎湖縣_租金
110Q4,297168,742,101.09,935402,249193,166284,196126,214638,369467,211293,228470,211108,243969,162548,203209,189693,252381,149313,147410,149521,156496,162957,198849,177127,1463,668,574,726,740,784,484,724,408,669,565,473,586,730,714,495,537,541,574,335,437
111Q1,292660,723,101.71,709429,277169,181274,198863,234678,381983,216620,234959,181394,229959,161989,177281,204289,274994,149842,139998,147749,201815,168858,213580,162488,1357,654,867,738,679,784,774,794,548,817,526,467,558,694,599,491,423,487,439,335,437
111Q2,297295,786,103.0,721424,268163,184332,202110,223960,389058,221082,236288,201055,244438,169496,195218,198969,276996,153431,144808,153552,202293,157733,214782,179413,1306,730,669,844,756,831,720,786,395,768,751,657,819,701,653,488,453,512,641,335,277
111Q3,298911,749,103.35,711795,271461,198599,204628,222843,390533,222606,240365,178203,301454,167162,185269,281951,296770,148580,141352,155229,199119,164822,189099,145880,1250,684,519,727,745,813,700,860,333,1418,314,308,674,525,271,393,808,556,636,335,454
111Q4,295345,769,103.72,717197,264795,184245,214740,230539,400660,210662,248746,190499,266874,177461,198100,213097,277395,151787,150922,159849,197186,176055,215396,176436,1564,676,819,869,735,846,329,923,444,1027,432,603,527,485,846,414,506,597,957,652,72
112Q1,301439,760,104.36,705421,271242,211639,216978,230575,403742,212300,254429,192094,270058,175991,196313,210607,279235,152519,155210,163744,211293,184312,224212,179635,1612,671,662,752,769,806,322,869,456,784,520,512,509,814,479,402,547,559,788,433,299
112Q2,307518,791,105.1,715261,274201,221695,217642,231863,403321,208236,256809,211016,283809,195999,202758,201534,294879,155987,161763,169402,208849,167681,222271,170232,1487,720,747,713,786,832,1023,933,452,952,643,815,520,685,386,359,460,563,711,604,299
112Q3,317313,803,105.88,745940,284853,216964,234130,239541,412047,221109,269021,210296,312311,196576,241202,204170,297145,167798,155817,172091,202921,168474,217912,202238,1721,741,1507,816,788,853,657,824,503,1053,525,592,653,1002,387,309,488,570,724,604,806
112Q4,328082,819,106.71,750544,294636,206110,238470,254400,418831,218757,282219,207797,330052,196009,223349,212540,319139,167974,162221,179553,219286,189992,229684,173496,1592,748,500,672,714,882,521,594,509,967,567,431,692,773,784,510,519,713,646,650,1143
113Q1,327962,861,106.8,740630,307009,213924,233245,256261,421554,223026,286514,199491,313534,209107,217867,218480,333862,180248,175087,179676,215813,192756,209266,197970,1608,769,521,662,711,935,524,623,527,835,549,438,621,866,668,463,512,725,624,559,1309
113Q2,344002,865,107.41,793621,303991,244669,247287,275164,443005,233781,294119,220921,350025,218515,235241,226293,342075,181946,180461,194527,215233,197582,242105,197799,1563,790,524,668,724,917,563,659,543,794,636,463,642,884,710,549,467,705,797,562,1143
113Q3,354842,849,108.24,811250,313679,235298,258409,297295,452368,240506,309058,229598,355903,242730,224875,225794,381912,187403,184985,196587,229065,196275,239528,196084,1642,786,505,723,746,886,542,638,617,893,563,586,648,841,763,548,559,716,690,517,1043
113Q4,356126,878,108.8,837188,322827,206888,278599,294009,464001,252778,318611,237220,344545,230073,208242,234663,338572,199540,204925,196228,224232,210179,221993,194423,1621,821,524,728,741,965,557,663,632,1025,652,523,680,920,737,617,567,722,666,458,1133
114Q1,356203,873,109.16,801832,324747,217887,265129,280414,448576,240233,318700,249683,367110,261733,229751,238656,434828,190955,209428,205109,222711,202300,231476,163325,1689,786,496,728,732,929,527,660,622,942,574,525,618,886,784,685,629,731,666,462,791
114Q2,363725,893,109.18,817119,325605,218862,274462,288023,471181,246152,326218,240459,342404,251221,237428,242179,385604,185927,210174,211281,226499,198816,239774,208710,1760,809,523,756,752,934,540,663,628,942,712,537,597,991,884,716,533,739,666,333,1096
