編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLKMKIJGFAX66CC,14,46.20,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPPNMLOKJHKGFAX76CC,6,29.30,住家用,鋼筋混凝土造,108年3月27日,三層,,
RPPNMLNKJIJGFAX76DC,48,76.26,住家用,鋼筋混凝土加強磚造,66年1月14日,二層,,
RPQNMLOJKHKGFAX96DC,,69.40,住商用,造,,二層,,
RPPNMLOJKHKGFAX86DC,55,65.60,住家用,鋼筋混凝土加強空心磚造,58年12月3日,一層,,
RPQNMLOKJHKGFAX86CC,14,28.30,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPPNMLSLKHKGFAX37CC,47,43.51,住家用,鋼筋混凝土加強磚造,66年11月11日,五層,,
