編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLMJKIJGFAO68CC,16,26.52,辦公室,鋼筋混凝土造,97年12月30日,十層,,
RPQNMLNJKIJGFAO48CC,31,8.97,住家用,鋼筋混凝土造,82年6月17日,五層,,
RPTNMLMJKIJGFAO68CC,16,12.35,停車空間、機械室、樓梯間,鋼筋混凝土造,97年12月30日,十層,,
RPQNMLNJKIJGFAO48CC,31,21.01,停車埸、儲藏室,鋼筋混凝土造,82年6月17日,五層,,
RPWNMLMJKIJGFAO98CC,9,26.45,集合住宅,鋼筋混凝土造,104年11月18日,七層,,
RPTNMLMJKIJGFAO68CC,16,4.22,樓梯間,鋼筋混凝土造,97年12月30日,十層,,
RPVNMLMJKIJGFAO88CC,17,25.84,機電空間、辦公室,鋼筋混凝土造,96年6月6日,十層,,
RPVNMLMJKIJGFAO88CC,17,12.43,防空避難室兼停車空間、車道、梯間、機械室、水箱,鋼筋混凝土造,96年6月6日,十層,,
RPQNMLOJKIJGFAO58CC,1,63.63,集合住宅,鋼筋混凝土造,112年12月20日,二十一層,,
RPQNMLOJKIJGFAO58CC,1,18.49,共有部分,鋼筋混凝土造,112年12月20日,二十一層,,
RPQNMLOJKIJGFAO58CC,1,18.22,共有部分,鋼筋混凝土造,112年12月20日,二十一層,,
RPRNMLOJKIJGFAO68CC,,28.00,住家用,鋼筋混凝土造,,四層,,
RPRNMLNJKIJGFAO58CC,1,78.98,集合住宅,鋼筋混凝土造,112年5月30日,二十九層,,
RPRNMLNJKIJGFAO58CC,1,41.66,共有部分,鋼筋混凝土造,112年5月30日,二十九層,,
RPUNMLOJKIJGFAO98CC,5,100.96,住宅,鋼筋混凝土造,108年9月18日,五層,,
RPUNMLOJKIJGFAO98CC,5,20.02,共有部分,鋼筋混凝土造,108年9月18日,五層,,
RPTNMLOJKIJGFAO88CC,19,11.47,梯間、住宅,鋼筋混凝土造,94年8月20日,四層,,
RPSNMLOJKIJGFAO78CC,,25.00,住家用,鋼筋混凝土造,,四層,,
