編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWOMLNLKIJGFBH78CC,1,72.70,本共有部分之項目有：停車空間、防空避難室兼停車空間、集合住宅（附屬管委會空間）、樓梯間、機械室及水箱等六項。,鋼筋混凝土造,113年5月7日,十層,,
RPPPMLNLKIJGFBH18CC,31,65.10,住家用,鋼筋混凝土造,82年7月28日,五層,,
RPPPMLNLKIJGFBH18CC,31,19.08,共有部份,鋼筋混凝土造,82年7月28日,五層,,
RPRPMLNLKIJGFBH38CC,17,57.26,住家用,鋼筋混凝土造,97年4月28日,二十四層,,
RPRPMLNLKIJGFBH38CC,17,7.41,共有部份,鋼筋混凝土造,97年4月28日,二十四層,,
RPRPMLNLKIJGFBH38CC,17,13.83,共有部份,鋼筋混凝土造,97年4月28日,二十四層,,
RPSPMLNLKIJGFBH48CC,30,80.10,住家用,鋼筋混凝土造,83年9月3日,七層,,
RPSPMLNLKIJGFBH48CC,30,10.60,共有部份,鋼筋混凝土造,83年9月3日,七層,,
RPSPMLNLKIJGFBH48CC,30,11.43,防空避難室、停車場。,鋼筋混凝土造,83年9月3日,七層,,
RPTPMLNLKIJGFBH58CC,31,25.98,住家用,鋼筋混凝土造,83年5月2日,七層,,
RPTPMLNLKIJGFBH58CC,31,6.30,共有部份,鋼筋混凝土造,83年5月2日,七層,,
RPTPMLNLKIJGFBH58CC,31,4.86,共有部份,鋼筋混凝土造,83年5月2日,七層,,
RPQPMLNLKIJGFBH28CC,31,106.74,住家用,鋼筋混凝土造,82年12月30日,十二層,,
RPQPMLNLKIJGFBH28CC,31,15.69,共有部份,鋼筋混凝土造,82年12月30日,十二層,,
RPUPMLNLKIJGFBH68CC,1,85.20,集合住宅,鋼筋混凝土造,113年5月15日,十五層,,
RPUPMLNLKIJGFBH68CC,1,79.27,本共有部分之項目有：停車空間、防空避難室兼停車空間、集合住宅（附屬管委會空間）、樓梯間、機械室、水箱等六項,鋼筋混凝土造,113年5月15日,十五層,,
RPXPMLNLKIJGFBH98CC,6,84.96,集合住宅,鋼筋混凝土造,108年3月29日,二十五層,,
RPXPMLNLKIJGFBH98CC,6,6.97,本共有部分之項目有：機電設備空間、排風機房、泵浦機房、雨水機房、梯廳、排煙室、送風機房、前室、走道、台電配電室、防災中心、機房及電梯機房等十三項。,鋼筋混凝土造,108年3月29日,二十五層,,
RPWPMLNLKIJGFBH88CC,31,92.49,住家用,鋼筋混凝土造,83年6月3日,七層,,
RPXPMLNLKIJGFBH98CC,6,11.60,本共有部分之項目有：機電設備空間、停車空間、管委會使用空間、住宅消防泵浦室、住宅污水機房、梯廳、（住宅垃圾處理空間）機房、住宅電信機房、水箱機房、泳池水箱機房、住宅發電機房、Ａ棟受電箱室、Ｂ、Ｃ棟受電箱室、警衛室、信箱區及管委會使用空間（宅配辦公室）等十六項。,鋼筋混凝土造,108年3月29日,二十五層,,
RPWPMLNLKIJGFBH88CC,31,24.45,共有部份,鋼筋混凝土造,83年6月3日,七層,,
RPVPMLNLKIJGFBH78CC,25,51.81,住家用,鋼筋混凝土造,89年1月20日,九層,,
RPXPMLNLKIJGFBH98CC,6,28.25,本共有部分之項目有：機電設備空間、樓梯間、水箱、Ｃ棟水箱、Ｃ棟電氣室、走道、梯廳、排煙室、水錶機房、消防中繼泵浦機房、排煙機房、電梯機房、水箱室及消防水箱等十四項。,鋼筋混凝土造,108年3月29日,二十五層,,
RPVPMLNLKIJGFBH78CC,25,20.20,共有部份,鋼筋混凝土造,89年1月20日,九層,,
RPXPMLNLKIJGFBH98CC,6,40.81,本共有部分之項目有：停車空間及車道等二項。,鋼筋混凝土造,108年3月29日,二十五層,,
RPOQMLNLKIJGFBH18CC,30,194.54,住商用,鋼筋混凝土造,83年8月12日,三層,,
RPSQMLNLKIJGFBH58CC,12,23.70,集合住宅,鋼筋混凝土造,102年5月31日,十二層,,
RPRQMLNLKIJGFBH48CC,22,30.74,住家用,鋼筋混凝土造,91年10月7日,十層,,
RPRQMLNLKIJGFBH48CC,22,5.70,共有部份,鋼筋混凝土造,91年10月7日,十層,,
RPRQMLNLKIJGFBH48CC,22,6.29,共有部份,鋼筋混凝土造,91年10月7日,十層,,
RPPQMLNLKIJGFBH28CC,30,14.69,住家用,鋼筋混凝土造,84年1月21日,十層,,
RPPQMLNLKIJGFBH28CC,30,5.56,共有部份,鋼筋混凝土造,84年1月21日,十層,,
RPTQMLNLKIJGFBH68CC,,46.76,集合住宅,鋼筋混凝土造,113年6月26日,五層,,
RPTQMLNLKIJGFBH68CC,,13.40,本共有部分之項目有：集合住宅（附屬停車空間、受電室）、樓梯間、電梯機房及水箱等５項。,鋼筋混凝土造,113年6月26日,五層,,
RPUQMLNLKIJGFBH78CC,9,88.60,集合住宅,鋼筋混凝土造,105年1月13日,十一層,,
RPUQMLNLKIJGFBH78CC,9,76.36,本共有部分之項目有：防空避難室及停車空間、停車空間、管委會使用空間、樓梯間、機房、水箱、消防泵浦室、車道、消防水池、發電機室、電信室、台電配電室、垃圾回收冷藏空間、梯廳、守衛室、陽台等共十六項,鋼筋混凝土造,105年1月13日,十一層,,
RPVQMLNLKIJGFBH88CC,33,81.67,住家用,鋼筋混凝土造,80年11月22日,五層,,
RPVQMLNLKIJGFBH88CC,33,9.92,共有部份,鋼筋混凝土造,80年11月22日,五層,,
RPORMLNLKIJGFBH28CC,36,18.51,住家用,鋼筋混凝土造,78年5月29日,五層,,
RPORMLNLKIJGFBH28CC,36,5.98,共有部份,鋼筋混凝土造,78年5月29日,五層,,
RPXQMLNLKIJGFBH09CC,28,92.13,住家用,鋼筋混凝土造,85年7月26日,十三層,,
RPXQMLNLKIJGFBH09CC,28,15.66,共有部份,鋼筋混凝土造,85年7月26日,十三層,,
RPXQMLNLKIJGFBH09CC,28,7.00,共有部份,鋼筋混凝土造,85年7月26日,十三層,,
RPWQMLNLKIJGFBH98CC,43,100.05,住家用,鋼筋混凝土造,71年2月26日,四層,,
RPPRMLNLKIJGFBH38CC,35,14.84,住家用,鋼筋混凝土造,78年12月20日,六層,,
RPPRMLNLKIJGFBH38CC,35,8.25,共有部份,鋼筋混凝土造,78年12月20日,六層,,
RPPNMLNLKIJGFCH08CC,31,125.66,住家用,鋼筋混凝土造,83年3月11日,七層,,
RPPNMLNLKIJGFCH08CC,31,8.39,梯間、配電室、發電機室、倉庫、水箱、守衛室,鋼筋混凝土造,83年3月11日,九層,,
RPPNMLNLKIJGFCH08CC,31,25.74,防空避難室、停車場,鋼筋混凝土造,83年3月11日,九層,,
RPQNMLNLKIJGFCH18CC,26,24.00,防空避難室，水箱，住宅，機械室,鋼筋混凝土造,88年5月12日,十層,,
RPRNMLNLKIJGFCH28CC,26,24.00,防空避難室，水箱，住宅，機械室,鋼筋混凝土造,88年5月12日,十層,,
RPQRMLNLKIJGFBH48CC,32,28.61,住家用,鋼筋混凝土造,82年4月9日,十二層,,
RPQRMLNLKIJGFBH48CC,32,7.02,共有部份,鋼筋混凝土造,82年4月9日,十二層,,
RPQRMLNLKIJGFBH48CC,32,2.24,共有部份,鋼筋混凝土造,82年4月9日,十二層,,
RPRRMLNLKIJGFBH58CC,13,58.86,集合住宅,鋼筋混凝土造,100年9月5日,十五層,,
RPRRMLNLKIJGFBH58CC,13,19.07,本建物用途為：樓梯間、電梯、蓄水池、機械室、水箱等五項。,鋼筋混凝土造,100年9月5日,十五層,,
RPRRMLNLKIJGFBH58CC,13,11.89,本建物用途為：緊急發電機房、電信機房、台電配電場所、防空避難室兼停車空間、消防泵浦機房、梯間、污水機房、管委會使用空間、梯廳、管理員室、門廊、電梯、廣場式開放空間等１３項。,鋼筋混凝土造,100年9月5日,十五層,,
RPSNMLNLKIJGFCH38CC,27,31.64,住家用,鋼筋混凝土造,87年4月7日,十四層,,
