鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
西屯區,房地(土地+建物)+車位,臺中市西屯區重慶路３５０號十五樓之３,15.62,商,,,1110729,土地1建物1車位1,十五層，十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850125,223.62,5,2,2,有,有,13500000,60370,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWPMLSKQHHGFCB98DA,109.95,59.86,9.84,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段３９９號二十三樓之５,19.59,都市：其他:第六種新市政中心專用區,,,1110727,土地1建物1車位2,二十三層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050127,339.98,0,1,0,有,有,39300000,118213,坡道平面,34.6,3200000,毛胚屋；,RPOQMLSKQHHGFCB28DA,169.76,5.77,27.72,有,0133
西屯區,房地(土地+建物)+車位,臺中市西屯區環中路三段６１號十一樓之６,10.16,商,,,1110722,土地1建物1車位1,十一層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060524,157.86,3,2,2,有,有,18000000,114025,坡道平面,31.72,0,,RPWTMLTKQHHGFCB86DA,68.18,8.15,5.37,有,0134
西屯區,土地,東林段28地號,153.86,,,,1110714,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,11049,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLTKQHHGFCB28DA,0.0,0.0,0.0,無,0135
豐原區,房地(土地+建物)+車位,臺中市豐原區東勢街１５號五樓,24.6,住,,,1110715,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810720,135.76999999999998,3,2,2,有,有,8580000,63195,坡道平面,0.0,0,,RPOOMLRLPHHGFDB08DA,76.45,0.0,11.32,有,
豐原區,房地(土地+建物),臺中市豐原區大社街５６巷１８號,147.52,住,,,1110719,土地2建物1車位0,全,三層,透天厝,住商用,構架造,0720525,184.52,4,2,3,有,無,17800000,96467,,0.0,0,頂樓加蓋；其他增建；,RPONNLMLPHHGFDB57DA,164.82,0.0,19.7,無,
神岡區,房地(土地+建物),臺中市神岡區福庄街５７巷９號,100.25,農,,,1110717,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060124,174.23,4,3,3,有,無,10000000,57395,,0.0,0,頂樓加蓋；,RPQNMLNJQHHGFDB67DA,174.23,0.0,0.0,無,
外埔區,土地,永豐段392地號,1263.44,,一般農業區,丁種建築用地,1110726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000000,39574,,0.0,0,,RPSNMLLKQHHGFEB87DA,0.0,0.0,0.0,無,
豐原區,房地(土地+建物),臺中市豐原區府前街１３７巷２０號,87.0,商,,,1110701,土地1建物1車位0,全,三層,透天厝,商業用,加強磚造,0500110,169.67,3,2,2,有,無,13200000,77798,,0.0,0,未登記建物；,RPPNMLNLQHHGFDB77DA,169.67,0.0,0.0,無,
沙鹿區,土地,保成段928地號,222.53,都市：其他:第二種住宅區,,,1110701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20194600,90750,,0.0,0,,RPUNMLMJQHHGFFB18DA,0.0,0.0,0.0,無,
