鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,建物,桃園市中壢區高鐵站前東路一段９９號二樓之８,0.0,商,,,1110703,土地0建物1車位1,二層,17,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100908,90.55,0,0,0,無,有,有,16500,227,坡道平面,31.06,3000,社會住宅管理費1500，水電由承租人負擔,RPXOMLSLPHHGFBH96CC
觀音區,建物,桃園市觀音區中山路一段１１８３號,0.0,,一般農業區,甲種建築用地,1110627,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0830812,194.54,6,2,3,有,無,有,13000,67,,0.0,0,社會住宅,RPOPMLSLPHHGFBH78CC
觀音區,建物,桃園市觀音區仁德街１２６號二樓,0.0,,工業區,丁種建築用地,1110627,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1040430,77.5,2,2,2,有,有,有,12000,155,,0.0,0,社會住宅管理費另計300元/月,RPPPMLSLPHHGFBH88CC
中壢區,建物,桃園市中壢區環北路３５２號２樓之２,0.0,住,,,1110725,土地0建物1車位0,二層,21,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980629,40.49,1,0,1,有,有,有,12000,296,,0.0,0,水電瓦斯費由承租人負擔。,RPRPMLSLPHHGFBH09CC
觀音區,建物,桃園市觀音區環中路１１３號,0.0,住,,,1110630,土地0建物1車位0,全,4,透天厝,住宅、店舖、停車空間,鋼筋混凝土造,0880419,220.21,4,2,3,有,無,有,19000,86,,0.0,0,社會住宅水電由承租人負擔,RPSPMLSLPHHGFBH56CC
觀音區,建物,桃園市觀音區金華路９２６巷２０號,0.0,,一般農業區,甲種建築用地,1110627,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0831205,183.69,4,2,3,有,無,有,10000,54,,0.0,0,社會住宅水電由承租人負擔,RPUPMLSLPHHGFBH76CC
中壢區,房地(土地+建物)+車位,桃園市中壢區成章二街４３６巷５號二樓,21.83,住,,,1110725,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831005,206.79000000000002,4,2,2,有,有,有,18000,87,坡道平面,0.0,2000,水電費、瓦斯費及每月管理費833元皆由承租人負擔。,RPRQMLSLPHHGFBH56CC
中壢區,建物,桃園市中壢區高鐵南路二段２６２號６樓,0.0,住,,,1110618,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1040812,79.05,1,1,1,有,有,有,18200,230,,0.0,0,社會住宅,RPWQMLSLPHHGFBH07CC
觀音區,建物,桃園市觀音區福壽街１５７號２樓之２,0.0,,工業區,丁種建築用地,1110708,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),工業社區（社區住宅）,鋼筋混凝土造,1100616,55.89,2,1,2,有,無,有,15000,268,,0.0,0,社會住宅,RPXQMLSLPHHGFBH17CC
中壢區,建物,桃園市中壢區復華街２９６號,0.0,住,,,1110626,土地0建物1車位1,一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1000720,127.23,2,2,1,有,無,有,16300,158,坡道平面,36.9,2000,社會住宅管理費另計＄1700,RPSRMLSLPHHGFBH76CC
中壢區,建物,桃園市中壢區後興路一段７０號五樓,0.0,住,,,1110526,土地0建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890120,126.11,3,2,2,有,有,有,14000,125,坡道平面,22.41,1000,社會住宅,RPTRMLSLPHHGFBH86CC
中壢區,建物,桃園市中壢區慈惠三街３６號四樓,0.0,住,,,1110705,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720207,85.4,3,2,1,有,有,有,10000,117,,0.0,0,社會住宅,RPXRMLSLPHHGFBH27CC
中壢區,建物,桃園市中壢區龍岡路三段２４３巷６３弄２６衖７號,0.0,住,,,1110525,土地0建物1車位0,全,1,透天厝,住家用,磚造,0620612,58.72,3,2,1,有,無,有,13000,221,,0.0,0,社會住宅,RPOSMLSLPHHGFBH09CC
中壢區,建物,桃園市中壢區興仁路二段９９號九樓之５８,0.0,住,,,1110713,土地0建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950520,31.74,0,0,0,無,有,有,7500,236,,0.0,0,社會住宅水電由承租人負擔,RPPSMLSLPHHGFBH56CC
中壢區,建物,桃園市中壢區中園路二段１４５之５號五樓,0.0,住,,,1110719,土地0建物1車位0,五層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850315,26.72,1,1,1,有,有,有,6000,225,,0.0,0,水電費、瓦斯費、網路費及每月管理費450元皆由承租人負擔。,RPSSMLSLPHHGFBH86CC
觀音區,建物,桃園市觀音區環中路９９號,0.0,住,,,1110714,土地0建物1車位0,全,4,透天厝,住宅、店舖、停車空間,鋼筋混凝土造,0880419,260.85,4,2,3,有,無,有,16000,61,,0.0,0,社會住宅水電由承租人負擔,RPUSMLSLPHHGFBH07CC
