鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
林園區,土地,五福段345地號,34.14,住,,,1110618,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1146936,33595,,0.0,0,協議價購；,RPUOMLMLQHHGFLE76DA,0.0,0.0,0.0,無,0266
林園區,土地,五福段345地號,34.14,住,,,1110618,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1146936,33595,,0.0,0,協議價購；,RPVOMLMLQHHGFLE86DA,0.0,0.0,0.0,無,0266
美濃區,土地,成功段455地號,5518.02,,特定農業區,農牧用地,1110607,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,1722,,0.0,0,,RPUNMLMLQHHGFKE56DA,0.0,0.0,0.0,無,0268
大社區,房地(土地+建物),高雄市大社區中山路２０１巷１７號七樓,26.11,住,,,1110622,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840615,140.79,4,2,2,有,有,4800000,34093,,0.0,0,含傢俱設備費；,RPRNMLQKQHHGFIE98DA,98.78,0.0,11.43,有,
大社區,房地(土地+建物),高雄市大社區大吉路５１６巷１５號,117.43,,,,1110622,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土,1110505,221.62,5,2,4,有,無,14850000,67007,,0.0,0,,RPQOMLTLPHHGFIE66DA,205.07,0.0,16.55,無,
鳥松區,房地(土地+建物),高雄市鳥松區美竹街１２５號,84.05,住,,,1110630,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0821006,183.97,4,2,3,有,無,8880000,48269,,0.0,0,陽台外推；其他增建；,RPUNMLKMOHHGFIE68DA,163.99,2.05,17.93,無,
鳳山區,房地(土地+建物),高雄市鳳山區瑞興路２８７號四樓,16.46,住,,,1110630,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850801,111.07,3,2,2,有,有,5350000,48168,,0.0,0,,RPOOMLQKQHHGFGE58DA,76.2,0.0,10.02,有,
岡山區,房地(土地+建物),高雄市岡山區子南街３２之１號,80.76,,鄉村區,乙種建築用地,1110614,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0870527,157.86,5,2,4,有,無,7500000,47510,,0.0,0,,RPTOMLKKQHHGFFE38DA,150.06,0.0,7.8,無,
岡山區,房地(土地+建物),高雄市岡山區大德一路１０１巷５２號,124.41,住,,,1110610,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1110527,252.28,4,2,4,有,無,19600000,77691,,0.0,0,含傢俱設備費；,RPWNMLKMOHHGFFE58DA,230.75,0.0,21.53,無,
楠梓區,房地(土地+建物),高雄市楠梓區德民路３５６巷６０弄５號四樓,16.29,住,,,1110626,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810716,84.81,3,1,1,有,有,5100000,60134,,0.0,0,含傢俱設備費；,RPPQMLKKQHHGFEE08DA,54.47,1.17,8.84,有,0269
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街１５０號十二樓,24.65,住,,,1110625,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110510,147.79,3,2,2,有,有,13460000,92867,坡道平面,20.08,1600000,,RPVNMLTJQHHGFEE56DA,72.76,0.0,11.55,有,
左營區,房地(土地+建物)+車位,高雄市左營區文萊路３０８號十五樓之１,16.17,商,,,1110629,土地1建物1車位2,十五層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1071225,291.32,3,2,2,有,有,34500000,122111,坡道平面,47.28,4700000,含裝潢費2800000元；,RPUOMLSJQHHGFEE09DA,140.68,0.0,19.79,有,
左營區,房地(土地+建物)+車位,高雄市左營區文萊路３０８號十樓之１,14.01,商,,,1110629,土地1建物1車位1,十層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1071225,267.86,3,2,2,有,有,32000000,120526,坡道平面,22.27,2400000,含裝潢費2800000元；,RPSPMLSJQHHGFEE98DA,140.68,2.16,19.18,有,
三民區,房地(土地+建物),高雄市三民區大昌二路２６８號七樓之５,3.62,商,,,1110630,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880731,44.88,1,1,1,有,有,2350000,52362,,0.0,0,含裝潢費；含傢俱設備費；,RPRRMLTKQHHGFDE56DA,28.14,0.0,4.95,有,
前鎮區,房地(土地+建物)+車位,高雄市前鎮區和平二路２２７巷２１號八樓,15.69,商,,,1110615,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960621,182.09,4,2,2,有,有,12800000,73447,坡道平面,29.6,1600000,,RPTNMLPKOHHGFCE28DA,93.87,1.57,12.09,有,
前鎮區,房地(土地+建物),高雄市前鎮區公正路１３之６號十一樓,6.09,住,,,1110630,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870919,70.99000000000001,2,1,1,有,有,4700000,66207,,0.0,0,陽台外推；,RPXNMLKMOHHGFCE38DA,43.49,0.0,9.5,有,
前金區,房地(土地+建物),高雄市前金區七賢二路１４２號二十五樓,5.69,商,,,1110628,土地1建物1車位0,二十五層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100205,87.9,2,2,1,有,有,9300000,105802,,0.0,0,,RPQOMLRKQHHGFAE28DA,52.49,0.0,4.0,有,
苓雅區,房地(土地+建物),高雄市苓雅區七賢一路１２１號六樓之１１,3.9,商,,,1110611,土地1建物1車位0,六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土構造,1070911,72.47,2,1,1,有,有,6100000,84173,,0.0,0,,RPVNMLOKOHHGFBE28DA,39.85,2.04,5.34,有,0270
鼓山區,房地(土地+建物)+車位,高雄市鼓山區翠華路２７９號四樓,35.99,住,,,1110630,土地1建物1車位2,四層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1050203,439.53,4,2,5,有,有,36000000,81906,坡道平面,51.02,0,,RPUOMLOJPHHGFAE18DA,213.61,8.8,26.22,有,
旗津區,土地,旗港段46地號,35.94,商,,,1110625,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6261750,174228,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLTKQHHGFAE78DA,0.0,0.0,0.0,無,
小港區,房地(土地+建物),高雄市小港區朝天街１０號,62.07,都市：其他:特定住宅專用區,,,1110625,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0620914,92.34,3,1,1,有,無,3000000,32489,,0.0,0,,RPWNMLLKQHHGFCE38DA,92.34,0.0,0.0,無,0271
