鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
安樂區,房地(土地+建物),基隆市安樂區中平街５之２號５樓,39.86,都市：其他:住宅區(住二),,,1110728,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781123,115.37,4,2,2,有,無,3400000,29470,,0.0,0,陽台外推；,RPTPMLSKQHHGFDC88DA,95.94,0.51,8.59,無,024
暖暖區,房地(土地+建物)+車位,基隆市暖暖區源遠路１７９之３號３樓,25.95,都市：其他:住宅區(住三),,,1110717,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080102,187.95999999999998,3,2,2,有,有,13200000,71324,坡道平面,23.92,1500000,車位價格內含土地持分價格,RPQNMLMKQHHGFDC77DA,95.51,4.95,10.62,有,
安樂區,房地(土地+建物),基隆市安樂區安一路１７６巷２８之２號,28.33,都市：其他:住宅區,,,1110731,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690124,81.6,3,1,1,有,無,2200000,26961,,0.0,0,,RPWNMLLJQHHGFDC18DA,81.6,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區中和路１６８巷７弄２８號５樓,26.16,都市：其他:住宅區(住三),,,1110727,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851202,110.36,3,2,2,有,有,3500000,31714,,0.0,0,,RPUNMLSLPHHGFDC78DA,89.76,1.28,4.85,無,
中正區,房地(土地+建物),基隆市中正區祥豐街７２１之２號,18.8,都市：其他:住宅區(住一),,,1110720,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660809,66.3,0,0,0,無,無,2800000,42232,,0.0,0,其他增建；,RPUQMLLKQHHGFDC38DA,66.3,0.0,0.0,無,025
中正區,房地(土地+建物),基隆市中正區新豐街３１８號８樓,20.37,都市：其他:住宅區(住二),,,1110712,土地2建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,116.91,3,2,2,有,有,6550000,56026,,0.0,0,陽台外推；,RPSOMLSKQHHGFDC68DA,88.89,0.0,10.23,有,026
七堵區,房地(土地+建物),基隆市七堵區明德一路２巷３弄４８號,12.92,都市：其他:住宅區(住三),,,1110728,土地3建物1車位0,二層，停車場,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740307,39.79,5,1,1,有,無,800000,20106,,0.0,0,實際1樓親友、員工、共有人或其他特殊關係間之交易；,RPRNMLLLQHHGFDC87DA,36.48,0.0,3.31,無,
安樂區,房地(土地+建物)+車位,基隆市安樂區安樂路一段２５號四樓,32.58,都市：其他:住宅區,,,1110722,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101012,140.20999999999998,2,2,2,有,有,10050000,71678,坡道平面,37.98,0,,RPPNMLKLQHHGFDC57DA,56.89,0.0,10.83,有,027
七堵區,房地(土地+建物),基隆市七堵區工東街２６號７樓之２,18.24,都市：其他:住宅區(住三),,,1110728,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841227,114.51,3,2,2,有,有,5600000,48904,,0.0,0,,RPOOMLTKQHHGFDC38DA,86.03,0.98,9.72,有,
暖暖區,房地(土地+建物),基隆市暖暖區暖暖街５３０巷４５號２樓,18.86,都市：其他:商業區,,,1110714,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0831118,81.91,2,2,1,有,有,3800000,46392,,0.0,0,,RPPOMLTKQHHGFDC48DA,64.65,0.0,7.07,有,
