鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
善化區,建物,臺南市善化區茄拔５之８０號,0.0,,鄉村區,乙種建築用地,1110728,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1031216,204.18,4,2,4,有,無,有,40000,196,,0.0,0,,RPOOMLTLPHHGFHD98CC
永康區,建物,臺南市永康區中正路１７８號,0.0,住,,,1110725,土地0建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0961217,23.15,1,0,1,有,無,有,5500,238,,0.0,0,,RPXNMLTLPHHGFKD47CC
永康區,建物,臺南市永康區八德街５５巷２號,0.0,住,,,1110728,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0991206,203.93,4,2,5,有,無,有,25000,123,,0.0,0,,RPPOMLTLPHHGFKD76CC
東區,建物,臺南市東區東成街２８巷２號２樓之１,0.0,住,,,1110722,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770423,107.25999999999999,4,0,3,有,無,有,15000,140,,0.0,0,,RPVNMLTLPHHGFCD09CC
南區,建物,臺南市南區新興路１８３巷１６弄１５號,0.0,住,,,1110718,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0591024,66.12,2,1,1,有,無,有,12000,181,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.此租賃物為部分租賃租賃標的未紀錄共有部分之分算面積。,RPWNMLTLPHHGFCD56CC
東區,建物,臺南市東區富農街一段１０號,0.0,住,,,1110728,土地0建物1車位0,全,3,透天厝,住商用,加強磚造,0630614,125.6,5,1,3,有,無,有,24500,195,,0.0,0,,RPXNMLTLPHHGFCD66CC
安南區,建物,臺南市安南區海佃路四段１４１號,0.0,住,,,1110715,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0970219,8.15,1,0,1,有,無,有,7500,920,,0.0,0,,RPOOMLTLPHHGFBD38CC
安南區,建物,臺南市安南區安新五路１０１號,0.0,工,,,1110728,土地0建物1車位0,見其他登記事項,1,工廠,廠房,鋼骨構造,1090226,590.46,0,0,0,無,無,無,200000,,,0.0,0,,RPSOMLTLPHHGFBD78CC
安南區,建物,臺南市安南區培安路３０５巷３號六樓之５,0.0,住,,,1110728,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1101207,72.72,2,1,1,有,有,有,18000,248,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPSPMLTLPHHGFBD88CC
安平區,建物,臺南市安平區國平北路１２５號十五樓之７,0.0,商,,,1110727,土地0建物1車位1,十五層,18,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100503,83.44,2,2,1,有,有,有,23800,285,坡道平面,27.75,0,台南市社會住宅包租代管第3期計畫公會版，租金已打9折,RPSNMLTLPHHGFAD58CC
中西區,房地(土地+建物),臺南市中西區西門路二段３２號,86.18,商,,,1110711,土地1建物2車位0,全,3,透天厝,住家用,加強磚造,0590430,190.2,2,2,2,有,無,無,30000,158,,0.0,0,,RPWNMLTLPHHGFAD98CC
北區,建物,臺南市北區長榮路五段４１巷２２號,0.0,住,,,1110718,土地0建物1車位1,一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0920916,168.88,3,2,2,有,有,有,22000,130,坡道平面,0.0,0,,RPROMLTLPHHGFAD58CC
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段８３３號２０樓,8.98,住,,,1110713,土地1建物1車位1,二十層,23,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1081217,76.82000000000001,2,1,1,有,有,有,28000,364,坡道機械,28.37,0,,RPUOMLTLPHHGFAD88CC
安平區,建物,臺南市安平區建平路７１７號,0.0,住,,,1110721,土地0建物1車位0,一層,2,店面(店鋪),店舖、住宅,鋼筋混凝土構造,1090901,148.18,0,1,2,有,無,無,75000,506,,0.0,0,,RPXOMLTLPHHGFAD56CC
中西區,建物,臺南市中西區頂美一街７號六樓之１０,0.0,住,,,1110718,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661202,43.809999999999995,1,1,1,有,有,有,10000,228,,0.0,0,台南市社會住宅包租代管第3期計畫公會版，租金已打9折,RPVPMLTLPHHGFAD09CC
善化區,房地(土地+建物)+車位,臺南市善化區建國路４０７號２樓之３,22.05,住,,,1110730,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1071022,141.93,2,2,2,有,有,有,23000,162,其他,0.0,0,,RPPNMLKMPHHGFHD18CC
