鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
三民區,建物,高雄市三民區民孝路５９號九樓,0.0,商,,,1110721,土地0建物1車位0,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880930,87.19,2,1,1,有,有,有,13500,155,,0.0,0,,RPWNMLMLPHHGFDE68CC
三民區,房地(土地+建物),高雄市三民區復興一路１６３號四樓之３,3.73,商,,,1110715,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0711201,38.99,2,1,1,有,有,有,11000,282,,0.0,0,,RPSOMLMLPHHGFDE38CC
三民區,建物,高雄市三民區自立一路１２０號六樓之４,0.0,商,,,1110701,土地0建物1車位0,六層,12,套房(1房1廳1衛),,鋼筋混凝土造,0701231,25.37,1,1,1,有,有,有,8000,315,,0.0,0,,RPXOMLMLPHHGFDE88CC
三民區,房地(土地+建物),高雄市三民區九如一路３４號,91.38,商,,,1110720,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0680629,251.49,5,2,4,有,無,有,30000,119,,0.0,0,,RPPPMLMLPHHGFDE18CC
苓雅區,房地(土地+建物),高雄市苓雅區輔仁路１號９樓,5.91,商,,,1110710,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1110127,76.0,2,1,1,有,有,有,22000,289,,0.0,0,,RPQNMLMLPHHGFBE87CC
新興區,建物,高雄市新興區青年一路１７６巷２４之３號,0.0,住,,,1110721,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0620924,74.0,3,2,1,有,無,有,13000,176,,0.0,0,,RPRNMLMLPHHGFBE97CC
新興區,房地(土地+建物),高雄市新興區七賢一路１８３號,71.0,商,,,1110721,土地1建物1車位0,見其他登記事項,4,店面(店鋪),,鋼筋混凝土造,0630408,241.92,8,1,9,有,無,無,41000,169,,0.0,0,,RPTNMLMLPHHGFBE18CC
苓雅區,房地(土地+建物),高雄市苓雅區四維四路２號７樓之２,10.82,商,,,1110722,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0721213,136.43,2,2,2,有,有,無,15000,110,,0.0,0,,RPUNMLMLPHHGFBE28CC
苓雅區,建物,高雄市苓雅區自強三路２７巷３６號１０樓之８,0.0,商,,,1110719,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0800411,45.589999999999996,1,0,0,無,有,有,6500,143,,0.0,0,,RPXNMLMLPHHGFBE58CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區武廟路１８０號１３樓,18.41,商,,,1110711,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031122,168.67000000000002,3,2,2,有,有,有,33000,196,坡道平面,31.06,0,,RPPOMLMLPHHGFBE87CC
前金區,房地(土地+建物),高雄市前金區六合二路１０８號７樓之１０,3.43,商,,,1110719,土地1建物1車位0,七層,26,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100702,65.76,2,1,1,有,有,有,25000,380,,0.0,0,,RPPNMLMLPHHGFAE67CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路３１９-３號１０樓,17.96,商,,,1110715,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1040825,251.45,4,2,2,有,有,有,47000,187,坡道平面,21.72,0,,RPTNMLMLPHHGFAE08CC
