鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南州鄉,土地,萬華段563地號,1971.56,,一般農業區,農牧用地,1110727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2642552,1340,,0.0,0,,RPQNMLSKQHHGFDT47DA,0.0,0.0,0.0,無,
南州鄉,土地,萬華段537地號,1801.15,,一般農業區,農牧用地,1110727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2414113,1340,,0.0,0,,RPRNMLSKQHHGFDT57DA,0.0,0.0,0.0,無,
恆春鎮,房地(土地+建物),屏東縣恆春鎮恒公路１６號十一樓之七,4.7,都市：其他:住宅區,,,1110731,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841117,37.379999999999995,1,1,1,有,有,820000,21937,,0.0,0,,RPRNMLMLQHHGFET17DA,21.45,0.0,0.0,有,050
高樹鄉,土地,源興段78地號,6234.87,,一般農業區,農牧用地,1110719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9636000,1546,,0.0,0,政府機關標讓售；,RPOPMLQKQHHGFBT17EA,0.0,0.0,0.0,無,
枋寮鄉,土地,隆安段697地號,1389.44,,一般農業區,農牧用地,1110723,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,936,,0.0,0,未登記建物；,RPUNMLNLQHHGFFT77EA,0.0,0.0,0.0,無,
枋寮鄉,土地,金榮段557-2地號,2109.61,,一般農業區,農牧用地,1110721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2718800,1289,,0.0,0,,RPQNMLOLQHHGFFT47EA,0.0,0.0,0.0,無,
車城鄉,土地,射埔段759地號,175.25,,國家公園區,,1110726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1060000,6049,,0.0,0,,RPRNMLNLQHHGFET27DA,0.0,0.0,0.0,無,
潮州鎮,房地(土地+建物),屏東縣潮州鎮府洋北街８８巷１６號,89.38,都市：其他:住宅區,,,1110707,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0931224,181.75,4,3,4,有,無,8500000,46768,,0.0,0,,RPXOMLRKQHHGFCT08DA,158.91,6.14,16.7,無,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮福星路３３１號七樓之二十一,19.02,都市：其他:住宅區,,,1110706,土地1建物1車位1,七層，電梯樓梯間,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831109,147.24,3,2,2,有,有,5360000,36403,坡道平面,0.0,0,,RPUNMLOKPHHGFCT27DA,102.17,0.0,8.22,有,051
鹽埔鄉,房地(土地+建物),屏東縣鹽埔鄉長壽路１６之１號,66.09,,鄉村區,乙種建築用地,1110702,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0820526,125.86,3,2,4,有,無,4800000,38138,,0.0,0,,RPRNMLPKQHHGFBT07DA,97.7,14.96,13.2,無,052
麟洛鄉,土地,麟信段262地號,494.38,都市：其他:農業區,,,1110718,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,10518,,0.0,0,農作物；,RPSOMLMLQHHGFAT96DA,0.0,0.0,0.0,無,
