鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路一段２２６巷７８號,169.32,,鄉村區,乙種建築用地,1110626,土地7建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1101230,148.47,4,2,3,有,無,9400000,63312,,0.0,0,,RPQOMLQKQHHGFAG38DA,134.29,0.0,14.18,無,
宜蘭市,土地,振興段1554地號,2104.0,都市：其他:農業區,,,1110619,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,65500000,31131,,0.0,0,,RPUOMLRKQHHGFBG98DA,0.0,0.0,0.0,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路２０８號二樓之三,15.23,都市：其他:住宅區,,,1110629,土地1建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051006,79.73,1,1,1,有,有,7600000,95322,,0.0,0,,RPQPMLRKQHHGFBG68DA,39.96,1.83,4.02,有,056
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路二段２巷８３號,82.7,,鄉村區,乙種建築用地,1110627,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690626,90.7,3,2,2,有,無,3850000,42448,,0.0,0,其他增建；,RPRNMLSLOHHGFAG48DA,90.7,0.0,0.0,無,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮新城南路４３之２號,75.01,,風景區,丙種建築用地,1110630,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690407,117.42,0,0,2,有,無,2000000,17033,,0.0,0,,RPTOMLPKPHHGFAG48DA,117.42,0.0,0.0,無,
五結鄉,房地(土地+建物),宜蘭縣五結鄉親河路二段１０３巷３弄１１號,83.84,,特定農業區,甲種建築用地,1110629,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0831026,220.48,5,1,7,有,無,10000000,45356,,0.0,0,頂樓增建約1.5坪其他增建；,RPPNMLNJQHHGFAG77DA,167.25,53.23,0.0,無,057
五結鄉,房地(土地+建物),宜蘭縣五結鄉親河路二段１０３巷３弄１３號,84.68,,特定農業區,甲種建築用地,1110629,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0831026,222.9,5,1,6,有,無,10000000,44863,,0.0,0,頂樓增建約1.5坪其他增建；,SPPNMLNJQHHGFAG87DA,167.25,55.65,0.0,無,058
蘇澳鎮,土地,隘城段703地號,2339.33,都市：其他:工業區,,,1110628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,53073558,22688,,0.0,0,,RPSNMLMLQHHGFAG18DA,0.0,0.0,0.0,無,
冬山鄉,土地,香和段1169地號,1536.79,都市：其他:道路用地,,,1110624,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,67308299,43798,,0.0,0,,RPUNMLNLQHHGFAG58EA,0.0,0.0,0.0,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉四結２７之２２號三樓,47.86,,特定農業區,甲種建築用地,1110615,土地1建物1車位0,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110608,112.92,3,2,2,有,無,6280000,55615,,0.0,0,,RPTNMLNLQHHGFBG48DA,83.01,0.0,8.83,有,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉四結２７之２１號四樓,47.97,,特定農業區,甲種建築用地,1110629,土地1建物1車位0,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110608,112.95,3,2,2,有,無,6580000,58256,,0.0,0,,RPOOMLNLQHHGFBG08DA,83.01,0.0,8.86,有,
壯圍鄉,土地,新福段783地號,15.83,,特定農業區,甲種建築用地,1110617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,15793,,0.0,0,本案土地出賣權利範圍為1/84,RPROMLNLQHHGFBG38DA,0.0,0.0,0.0,無,
冬山鄉,土地,鹿埔新段62地號,1682.92,,特定農業區,甲種建築用地,1110613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35630000,21172,,0.0,0,,RPUNMLMLQHHGFAG38DA,0.0,0.0,0.0,無,
五結鄉,土地,季寶段40地號,685.7,,一般農業區,甲種建築用地,1110608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7150000,10427,,0.0,0,,RPSNMLNLQHHGFAG28DA,0.0,0.0,0.0,無,
五結鄉,房地(土地+建物),宜蘭縣五結鄉頂清路９９號,4174.73,,工業區,丁種建築用地,1110602,土地2建物1車位0,全,二層,透天厝,工業用,鋼鐵（骨）造有牆,0970617,1482.99,2,0,2,有,無,100000000,67431,,0.0,0,,RPXNMLQJOHHGFAG68DA,1482.99,0.0,0.0,無,
三星鄉,土地,張公圍段259地號,1260.32,,特定農業區,農牧用地,1110621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,2777,,0.0,0,,RPOOMLMKPHHGFAG67DA,0.0,0.0,0.0,無,
五結鄉,土地,利工段611地號,103.82,,工業區,丁種建築用地,1110625,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,28896,,0.0,0,,RPQNMLMJQHHGFAG77DA,0.0,0.0,0.0,無,
三星鄉,土地,尾塹一段451地號,662.43,,特定農業區,農牧用地,1110618,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7814820,11797,,0.0,0,,RPTNMLSKQHHGFAG78DA,0.0,0.0,0.0,無,
三星鄉,房地(土地+建物),宜蘭縣三星鄉月眉二路２０號,106.3,都市：其他:住宅區,,,1110612,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960115,192.2,4,2,3,有,無,7900000,41103,,0.0,0,,RPPNMLOLQHHGFAG08DA,152.49,19.67,20.04,無,059
頭城鎮,土地,烏石港段461-3地號,582.44,都市：其他:住宅區,,,1110624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44487496,76381,,0.0,0,,RPPQMLNLQHHGFBG38DA,0.0,0.0,0.0,無,060
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市林森路３１９號,151.64,都市：其他:住宅區,,,1110629,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0751208,172.28,6,3,4,有,無,11150000,64720,,0.0,0,頂樓加蓋；夾層；,RPVOMLNLQHHGFBG78DA,172.28,0.0,0.0,無,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段８６巷２９號四樓之一,42.56,都市：其他:住宅區,,,1110626,土地2建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,212.26,4,2,2,有,有,17300000,94813,坡道平面,42.03,1160000,,RPWOMLNLQHHGFBG88DA,101.84,5.28,10.94,有,
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮濱海路六段６２號,80.24,都市：其他:住宅區,,,1110623,土地3建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0670703,61.34,5,3,6,有,無,7380000,120313,,0.0,0,頂樓加蓋；包含公共設施保留地用地；,RPXOMLPLQHHGFBG66EA,61.34,0.0,0.0,無,
礁溪鄉,房地(土地+建物)+車位,宜蘭縣礁溪鄉白石腳路９８號三樓之六,32.9,,一般農業區,甲種建築用地,1110629,土地1建物1車位1,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090406,118.9,0,0,1,有,有,12060000,116362,坡道平面,26.43,1300000,毛胚屋；,RPXNMLPLQHHGFBG09DA,48.09,1.67,7.43,有,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉四結２７之２２號四樓,47.86,,特定農業區,甲種建築用地,1110615,土地1建物1車位0,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110608,112.92,3,2,2,有,無,6380000,56500,,0.0,0,,RPSNMLTLQHHGFBG98DA,83.01,0.0,8.83,有,
員山鄉,土地,隘界一段418地號,9382.25,,山坡地保育區,農牧用地,1110604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7100000,757,,0.0,0,,RPXNMLKMQHHGFBG68DA,0.0,0.0,0.0,無,
